file_number,label,global_root,candidate_package,candidate_prefix,method,confidence,notes
356.26,CLAIMS TRACKING ROI CONSENT,"^IBT(356.26,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
356.85,CLAIMS TRACKING BILLABLE FINDINGS,"^IBT(356.85,",INTEGRATED BILLING,IB,prefix,med,ns=IBT matched prefix=IB
359.3,AICS ERROR AND WARNING LOG,"^IBD(359.3,",AUTOMATED INFO COLLECTION SYS,IBD,prefix,high,ns=IBD matched prefix=IBD
360.0,IB-FB INTERFACE TRACKING,"^IBFB(360,",INTEGRATED BILLING,IB,prefix,med,ns=IBFB matched prefix=IB
361.0,BILL STATUS MESSAGE,"^IBM(361,",INTEGRATED BILLING,IB,prefix,med,ns=IBM matched prefix=IB
361.1,EXPLANATION OF BENEFITS,"^IBM(361.1,",INTEGRATED BILLING,IB,prefix,med,ns=IBM matched prefix=IB
361.2,IB ELECTRONIC REPORT DISPOSITION,"^IBE(361.2,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
361.3,IB MESSAGE SCREEN TEXT,"^IBE(361.3,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
361.4,EDI TEST CLAIM STATUS MESSAGE,"^IBM(361.4,",INTEGRATED BILLING,IB,prefix,med,ns=IBM matched prefix=IB
363.0,RATE SCHEDULE,"^IBE(363,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
363.1,CHARGE SET,"^IBE(363.1,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
363.2,CHARGE ITEM,"^IBA(363.2,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
363.21,BILLING ITEMS,"^IBA(363.21,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
363.3,BILLING RATE,"^IBE(363.3,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
363.31,BILLING REGION,"^IBE(363.31,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
363.32,BILLING SPECIAL GROUPS,"^IBE(363.32,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
